features_name,coef_
Age (Ma),100.43625625308852
P,-253.5573936160651
Y,993.4085480382855
Nb,97.3707556062465
Ce,792.2946356618597
Nd,679.2707203530613
Sm,-1640.6854916522211
Eu,-126.58228841900666
Gd,3201.267158312842
Tb,287.82281107514154
Dy,-1156.283108444353
Ho,-493.4291467185495
Er,-836.5084663755739
Tm,932.0798109505618
Yb,-894.6976121389516
Lu,-818.3682964283443
Hf,70.35760733326491
Th,-103.76031407555287
U,-0.00025567881834265917
Eu/Eu*,-2398.0243945396815
Ce/Ce*,262.4951621293238
10000×(Eu/Eu*)/YbN,1076.7254107181977
1000×(Ce/Nd)N/Y,-290.9174375651597
U/Yb,-116.27635073219106
Dose (×1015),510.158685946774
LREE-I,14.398822702257396
Yb/Gd,2222.508064662592
Ce/Sm,-798.6020734544311
Th/U,465.43305633723764
intercept,-6065.985494172384
